volume,coll_area,design_case,r_level,flow_factor,flow_rate,inf
0.15,16.0,ASHP,r2,0,0.0,0.2
0.2,4.0,cp_PV,r2,0,0.0,0.2
0.2,16.0,ASHP,r1,0,0.0,0.4
0.15,8.0,ASHP,r1,0,0.0,0.4
0.15,16.0,ASHP,r1,0,0.0,0.4
0.25,16.0,cp_PV,r1,0,0.0,0.4
0.2,4.0,cp_PV,r1,0,0.0,0.4
0.2,4.0,cp_PV,r0,0,0.0,1.0
0.2,20.0,cp_PV,r1,0,0.0,0.4
0.2,8.0,cp_PV,r1,0,0.0,0.4
0.2,0.001,cp_PV,r1,0,0.0,0.4
0.2,20.0,cp_PV,r2,0,0.0,0.2
0.2,16.0,cp_PV,r1,0,0.0,0.4
0.25,4.0,ASHP,r2,0,0.0,0.2
0.2,0.001,cp_PV,r2,0,0.0,0.2
0.25,8.0,ASHP,r0,0,0.0,1.0
0.2,8.0,ASHP,r1,0,0.0,0.4
0.2,8.0,cp_PV,r0,0,0.0,1.0
0.15,4.0,ASHP,r1,0,0.0,0.4
0.25,16.0,ASHP,r1,0,0.0,0.4
0.2,4.0,ASHP,r1,0,0.0,0.4
0.15,8.0,cp_PV,r1,0,0.0,0.4
0.25,8.0,ASHP,r1,0,0.0,0.4
0.2,16.0,cp_PV,r0,0,0.0,1.0
0.2,16.0,cp_PV,r2,0,0.0,0.2
0.15,8.0,ASHP,r2,0,0.0,0.2
0.2,4.0,ASHP,r0,0,0.0,1.0
0.25,16.0,ASHP,r0,0,0.0,1.0
0.15,20.0,cp_PV,r0,0,0.0,1.0
0.25,4.0,cp_PV,r1,0,0.0,0.4
0.25,16.0,cp_PV,r2,0,0.0,0.2
0.25,20.0,cp_PV,r0,0,0.0,1.0
0.15,8.0,ASHP,r0,0,0.0,1.0
0.2,4.0,ASHP,r2,0,0.0,0.2
0.2,16.0,ASHP,r2,0,0.0,0.2
0.25,8.0,cp_PV,r1,0,0.0,0.4
0.2,20.0,cp_PV,r0,0,0.0,1.0
0.25,8.0,ASHP,r2,0,0.0,0.2
0.2,8.0,ASHP,r0,0,0.0,1.0
0.25,20.0,cp_PV,r1,0,0.0,0.4
0.15,4.0,cp_PV,r0,0,0.0,1.0
0.15,8.0,cp_PV,r0,0,0.0,1.0
0.15,16.0,ASHP,r0,0,0.0,1.0
0.25,0.001,cp_PV,r1,0,0.0,0.4
0.15,20.0,cp_PV,r1,0,0.0,0.4
0.15,0.001,cp_PV,r2,0,0.0,0.2
0.15,8.0,cp_PV,r2,0,0.0,0.2
0.2,16.0,ASHP,r0,0,0.0,1.0
0.2,8.0,ASHP,r2,0,0.0,0.2
0.25,0.001,cp_PV,r2,0,0.0,0.2
0.15,4.0,cp_PV,r1,0,0.0,0.4
0.2,8.0,cp_PV,r2,0,0.0,0.2
0.25,20.0,ASHP,r1,0,0.0,0.4
0.25,16.0,cp_PV,r0,0,0.0,1.0
0.15,0.001,cp_PV,r1,0,0.0,0.4
0.25,4.0,cp_PV,r2,0,0.0,0.2
0.15,16.0,cp_PV,r1,0,0.0,0.4
0.25,4.0,ASHP,r1,0,0.0,0.4
0.25,8.0,cp_PV,r2,0,0.0,0.2
0.15,4.0,ASHP,r0,0,0.0,1.0
0.25,4.0,ASHP,r0,0,0.0,1.0
0.25,8.0,cp_PV,r0,0,0.0,1.0
0.15,4.0,cp_PV,r2,0,0.0,0.2
0.15,0.001,cp_PV,r0,0,0.0,1.0
0.2,0.001,cp_PV,r0,0,0.0,1.0
0.25,20.0,ASHP,r2,0,0.0,0.2
0.25,0.001,cp_PV,r0,0,0.0,1.0
0.2,20.0,ASHP,r2,0,0.0,0.2
0.2,20.0,ASHP,r1,0,0.0,0.4
0.25,20.0,cp_PV,r2,0,0.0,0.2
0.15,16.0,cp_PV,r0,0,0.0,1.0
0.15,4.0,ASHP,r2,0,0.0,0.2
0.25,20.0,ASHP,r0,0,0.0,1.0
0.15,20.0,ASHP,r2,0,0.0,0.2
0.25,4.0,cp_PV,r0,0,0.0,1.0
0.15,20.0,ASHP,r1,0,0.0,0.4
0.15,16.0,cp_PV,r2,0,0.0,0.2
0.15,20.0,ASHP,r0,0,0.0,1.0
0.25,16.0,ASHP,r2,0,0.0,0.2
0.2,20.0,ASHP,r0,0,0.0,1.0
0.15,20.0,cp_PV,r2,0,0.0,0.2
0.15,20.0,ASHP,r1,0,0.0,1.0
0.2,16.0,ASHP,r1,0,0.0,1.0
0.25,20.0,ASHP,r1,0,0.0,1.0
0.25,16.0,ASHP,r1,0,0.0,1.0
0.25,8.0,ASHP,r1,0,0.0,1.0
0.15,16.0,ASHP,r1,0,0.0,1.0
0.2,8.0,ASHP,r1,0,0.0,1.0
0.2,4.0,ASHP,r1,0,0.0,1.0
0.2,20.0,ASHP,r1,0,0.0,1.0
0.25,4.0,ASHP,r1,0,0.0,1.0
0.15,4.0,ASHP,r1,0,0.0,1.0
0.15,8.0,ASHP,r1,0,0.0,1.0
0.2,16.0,cp_PV,r1,0,0.0,1.0
0.2,20.0,cp_PV,r1,0,0.0,1.0
0.15,8.0,cp_PV,r1,0,0.0,1.0
0.2,4.0,cp_PV,r1,0,0.0,1.0
0.2,8.0,cp_PV,r1,0,0.0,1.0
0.15,0.001,cp_PV,r1,0,0.0,1.0
0.25,4.0,cp_PV,r1,0,0.0,1.0
0.25,20.0,cp_PV,r1,0,0.0,1.0
0.25,16.0,cp_PV,r1,0,0.0,1.0
0.15,16.0,cp_PV,r1,0,0.0,1.0
0.15,4.0,cp_PV,r1,0,0.0,1.0
0.2,0.001,cp_PV,r1,0,0.0,1.0
0.25,8.0,cp_PV,r1,0,0.0,1.0
0.25,0.001,cp_PV,r1,0,0.0,1.0
0.15,20.0,cp_PV,r1,0,0.0,1.0
